Zoning_Subdistrict,Zoning_District,Article,Map_Number,Subdistrict_Type,Subdistrict_Use,Unique_Code,Condition_Number,Condition_Text,Additional_Restrictions_or_Foot,Municode_Reference_to_Restricti,Max_FAR,Max_Height,Front_Setback,Side_Setback,Rear_Setback,Max_Dwelling_Units_Per_Area,Max_Number_of_Floors,Dwelling_Units_Factor,Amendment_Number,Latest_Amendment_Effective_Date,Color_Hex_Code,Urban_CustomID,Urban_Name,Comments,created_user,created_date,last_edited_user,last_edited_date,Shape_Length,Shape_Area,shape_wkt
3F-D-4000,Dorchester Neighborhood,65,5A-5E,Three-Family Residential,Medium Residential,Art65_3F-D-4000,0,,,,,,,,,,,,,,#8B8400,ART65-SUB014-0,ART65-Three-Family Residential,3F-D-4000 does not exist in Municode,,,GIS,5/7/2025 19:30:57,0.002371859421308,0.000000281733072,
OS-RC,Dorchester Neighborhood,65,5A-5E,Recreation Open Space,Open Space,Art65_OS-RC,0,,,,,,,,,,,,,,#38A800,ART65-SUB031-0,ART65-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.006924161056595,0.000003104850921,
3F-D-4000,Dorchester Neighborhood,65,5A-5E,Three-Family Residential,Medium Residential,Art65_3F-D-4000,0,,,,,,,,,,,,,,#8B8400,ART65-SUB014-0,ART65-Three-Family Residential,3F-D-4000 does not exist in Municode,,,GIS,5/7/2025 19:30:57,0.004032875683014,0.000000614389230,
3F-D-3000,Dorchester Neighborhood,65,5A-5E,Three-Family Residential,Medium Residential,Art65_3F-D-3000,0,Triple-Decker Detached,,,1.300000000000000,40.000000000000000,5.000000000000000,5.000000000000000,15.000000000000000,,3.000000000000000,,,,#8B8400,ART65-SUB013-0,ART65-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.002000791719948,0.000000206986508,
2F-4000,Dorchester Neighborhood,65,5A-5E,Two-Family Residential,Medium Residential,Art65_2F-4000,0,1 Family Detached or Semi-Attached or 2 Family Detached,,,0.500000000000000,35.000000000000000,15.000000000000000,10.000000000000000,20.000000000000000,,2.500000000000000,,,,#8B8400,ART65-SUB006-0,ART65-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.005620098804321,0.000000901130373,
3F-D-3000,Dorchester Neighborhood,65,5A-5E,Three-Family Residential,Medium Residential,Art65_3F-D-3000,0,Triple-Decker Detached,,,1.300000000000000,40.000000000000000,5.000000000000000,5.000000000000000,15.000000000000000,,3.000000000000000,,,,#8B8400,ART65-SUB013-0,ART65-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.003558302458142,0.000000475255014,
2F-3000,Dorchester Neighborhood,65,5A-5E,Two-Family Residential,Medium Residential,Art65_2F-3000,0,,,https://library.municode.com/ma/boston/codes/redevelopment_authority?nodeId=ART65TA_TABLE_CDONEDIESSUIMRE_TWO-FAMILY_RESIDENTIAL_SUBDISTRICT,,,,,,,,,,,#8B8400,ART65-SUB005-0,ART65-Two-Family Residential,2F-3000 does not exist in Municode,,,GIS,5/7/2025 19:30:57,0.004968992538196,0.000000678059346,
2F-3000,Dorchester Neighborhood,65,5A-5E,Two-Family Residential,Medium Residential,Art65_2F-3000,0,,,https://library.municode.com/ma/boston/codes/redevelopment_authority?nodeId=ART65TA_TABLE_CDONEDIESSUIMRE_TWO-FAMILY_RESIDENTIAL_SUBDISTRICT,,,,,,,,,,,#8B8400,ART65-SUB005-0,ART65-Two-Family Residential,2F-3000 does not exist in Municode,,,GIS,5/7/2025 19:30:57,0.001758574925318,0.000000148434305,
OS-A,Dorchester Neighborhood,65,5A-5E,Air-Right Open Space,Open Space,Art65_OS-A,0,,,,,,,,,,,,,,#38A800,ART65-SUB027-0,ART65-Air-Right Open Space,,,,GIS,5/7/2025 19:30:57,0.001702789908916,0.000000076437337,"MULTIPOLYGON (((-71.06459661699995 42.287671626000076, -71.064627483999971 42.287817411000049, -71.064637045999973 42.287863659000038, -71.064737166999976 42.287847599000031, -71.064694050999947 42.287630847000059, -71.064687350999975 42.287597163000044, -71.064671582999949 42.287517893000029, -71.064643028999967 42.287374347000025, -71.06458857399997 42.28710035000006, -71.064494385999978 42.287140496000063, -71.064541632999976 42.287386425000079, -71.06459661699995 42.287671626000076)))"
3F-D-3000,Dorchester Neighborhood,65,5A-5E,Three-Family Residential,Medium Residential,Art65_3F-D-3000,0,Triple-Decker Detached,,,1.300000000000000,40.000000000000000,5.000000000000000,5.000000000000000,15.000000000000000,,3.000000000000000,,,,#8B8400,ART65-SUB013-0,ART65-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.012260733225614,0.000001802746620,
2F-4000,Dorchester Neighborhood,65,5A-5E,Two-Family Residential,Medium Residential,Art65_2F-4000,0,1 Family Detached or Semi-Attached or 2 Family Detached,,,0.500000000000000,35.000000000000000,15.000000000000000,10.000000000000000,20.000000000000000,,2.500000000000000,,,,#8B8400,ART65-SUB006-0,ART65-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.005738642116080,0.000000854335410,
3F-D-3000,Dorchester Neighborhood,65,5A-5E,Three-Family Residential,Medium Residential,Art65_3F-D-3000,0,Triple-Decker Detached,,,1.300000000000000,40.000000000000000,5.000000000000000,5.000000000000000,15.000000000000000,,3.000000000000000,,,,#8B8400,ART65-SUB013-0,ART65-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.010487032103263,0.000002465711676,
3F-5000,Dorchester Neighborhood,65,5A-5E,Three-Family Residential,Medium Residential,Art65_3F-5000,0,"Semi-attached Dwelling, Row House Building, or Town House Building",,,0.500000000000000,35.000000000000000,15.000000000000000,10.000000000000000,20.000000000000000,,2.500000000000000,,,,#8B8400,ART65-SUB010-0,ART65-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.003875545693727,0.000000828219932,
2F-3000,Dorchester Neighborhood,65,5A-5E,Two-Family Residential,Medium Residential,Art65_2F-3000,0,,,https://library.municode.com/ma/boston/codes/redevelopment_authority?nodeId=ART65TA_TABLE_CDONEDIESSUIMRE_TWO-FAMILY_RESIDENTIAL_SUBDISTRICT,,,,,,,,,,,#8B8400,ART65-SUB005-0,ART65-Two-Family Residential,2F-3000 does not exist in Municode,,,GIS,5/7/2025 19:30:57,0.004524324631465,0.000000962371286,
OS-CM,Dorchester Neighborhood,65,5A-5E,Cemetery Open Space,Open Space,Art65_OS-CM,0,,,,,,,,,,,,,,#38A800,ART65-SUB028-0,ART65-Cemetery Open Space,,,,GIS,5/7/2025 19:30:57,0.004425117185309,0.000000929614372,
MFR,Dorchester Neighborhood,65,5A-5E,Multifamily Residential,Medium Residential,Art65_MFR,0,"1, 2 or 3 Family Detached or Semi-Attached Dwelling",,,1.000000000000000,35.000000000000000,5.000000000000000,10.000000000000000,20.000000000000000,,3.000000000000000,,,,#8B8400,ART65-SUB025-0,ART65-Multifamily Residential,,,,GIS,5/7/2025 19:30:57,0.010289961573967,0.000005832476253,
1F-3000,Dorchester Neighborhood,65,5A-5E,One-Family Residential,Single-Family Residential,Art65_1F-3000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,15.000000000000000,10.000000000000000,20.000000000000000,,2.500000000000000,,,,#c9be00,ART65-SUB001-0,ART65-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.004219102846362,0.000000693177134,
2F-5000,Dorchester Neighborhood,65,5A-5E,Two-Family Residential,Medium Residential,Art65_2F-5000,0,1 Family Detached or Semi-Attached or 2 Family Detached,,,0.500000000000000,35.000000000000000,15.000000000000000,10.000000000000000,20.000000000000000,,2.500000000000000,,,,#8B8400,ART65-SUB007-0,ART65-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.002687522499801,0.000000299098651,
3F-D-3000,Dorchester Neighborhood,65,5A-5E,Three-Family Residential,Medium Residential,Art65_3F-D-3000,0,,,,1.300000000000000,40.000000000000000,5.000000000000000,5.000000000000000,15.000000000000000,,3.000000000000000,,,,#8B8400,ART65-SUB013-0,ART65-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.017290552060133,0.000004208040096,
MFR,Dorchester Neighborhood,65,5A-5E,Multifamily Residential,Medium Residential,Art65_MFR,0,"1, 2 or 3 Family Detached or Semi-Attached Dwelling",,,1.000000000000000,35.000000000000000,5.000000000000000,10.000000000000000,20.000000000000000,,3.000000000000000,,,,#8B8400,ART65-SUB025-0,ART65-Multifamily Residential,,,,GIS,5/7/2025 19:30:57,0.003668598829957,0.000000661484989,
Lower Mills NS,Dorchester Neighborhood,65,5A-5E,Neighborhood Shopping,Commercial,Art65_Lower Mills NS,0,,,,1.000000000000000,40.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#990300,ART65-SUB023-0,ART65-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.012436363424738,0.000003061375321,
OS-P,Dorchester Neighborhood,65,5A-5E,Parkland Open Space,Open Space,Art65_OS-P,0,,,,,,,,,,,,,,#38A800,ART65-SUB030-0,ART65-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.021675832879037,0.000012299096594,
CF,West Roxbury Neighborhood,56,11A-11E,Community Facilities,Community/Institutional,Art56_CF,0,,,,0.500000000000000,35.000000000000000,25.000000000000000,20.000000000000000,40.000000000000000,,,,,,#004B6E,ART56-SUB005-0,ART56-Community Facilities,,,,GIS,5/7/2025 19:30:57,0.012297246728212,0.000005258485915,
CC,West Roxbury Neighborhood,56,11A-11E,Community Commercial,Commercial,Art56_CC,0,,,,2.000000000000000,45.000000000000000,,,40.000000000000000,,,,,,#990300,ART56-SUB004-0,ART56-Community Commercial,,,,GIS,5/7/2025 19:30:57,0.027060212102874,0.000023501378896,
CF,West Roxbury Neighborhood,56,11A-11E,Community Facilities,Community/Institutional,Art56_CF,0,,,,0.500000000000000,35.000000000000000,25.000000000000000,20.000000000000000,40.000000000000000,,,,,,#004B6E,ART56-SUB005-0,ART56-Community Facilities,,,,GIS,5/7/2025 19:30:57,0.024552153170737,0.000022169912213,
CPS,West Roxbury Neighborhood,56,11A-11E,Conservation Protection,Miscellaneous,Art56_CPS,0,,,,0.300000000000000,35.000000000000000,50.000000000000000,50.000000000000000,50.000000000000000,,,,,,#535353,ART56-SUB006-0,ART56-Conservation Protection,,,,GIS,5/7/2025 19:30:57,0.010753753933065,0.000006888074371,
OS-P,West Roxbury Neighborhood,56,11A-11E,Parkland Open Space,Open Space,Art56_OS-P,0,,,,,,,,,,,,,,#38A800,ART56-SUB013-0,ART56-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.014570245796223,0.000014043027473,
NS-1,Hyde Park Neighborhood,69,12,Neighborhood Shopping,Commercial,Art69_NS-1,0,,,,1.000000000000000,35.000000000000000,10.000000000000000,,10.000000000000000,,3.000000000000000,,,,#990300,ART69-SUB010-0,ART69-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.004264752889150,0.000000431946669,
2F-5000,Hyde Park Neighborhood,69,12,Two-Family Residential,Medium Residential,Art69_2F-5000,0,1 Family Detached or Semi-Attached or 2 Family Detached,,,0.500000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,2.500000000000000,,,,#8B8400,ART69-SUB003-0,ART69-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.002071336880400,0.000000188507170,"MULTIPOLYGON (((-71.106850723999969 42.262062224000033, -71.106659625999953 42.261891802000036, -71.106475476999947 42.261988073000055, -71.106155183999988 42.262174482000034, -71.10604501499995 42.262243425000065, -71.10611621399994 42.262489840000057, -71.106388023999955 42.262316792000036, -71.106512012999985 42.262242923000031, -71.106850723999969 42.262062224000033)))"
NS-2,Hyde Park Neighborhood,69,12,Neighborhood Shopping,Commercial,Art69_NS-2,0,,,,2.000000000000000,40.000000000000000,,,10.000000000000000,,3.000000000000000,,,,#990300,ART69-SUB011-0,ART69-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.014743302221022,0.000003780423959,
OS-P,Jamaica Plain Neighborhood,55,9A-9C,Parkland Open Space,Open Space,Art55_OS-P,0,,,,,,,,,,,,,,#38A800,ART55-SUB026-0,ART55-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.005835907569470,0.000001286720290,
OS-RC,Jamaica Plain Neighborhood,55,9A-9C,Recreation Open Space,Open Space,Art55_OS-RC,0,,,,,,,,,,,,,,#38A800,ART55-SUB027-0,ART55-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.003986492426383,0.000000583134349,
GOVERNMENT CENTER/CAA,Government Center/Markets,45,1H,Central Artery Area,Mixed-Use,Art45_GOVERNMENT CENTER/CAA,0,,,,,,,,,,,,,,#ad3800,ART45-SUB005-0,ART45-Central Artery Area,"Height by Protection Areas, setback equal to building line farthest from the curb line of the two blocks adjacent to said block, facing onto the same street.",,,GIS,5/7/2025 19:30:57,0.012639361049308,0.000004588099952,
SOUTH STATION/CAA,South Station Economic Development Area,40,1C/1G/1N,Central Artery Area,Mixed-Use,Art40_SOUTH STATION/CAA,0,,,,12.000000000000000,300.000000000000000,,,,,,,,,#ad3800,ART40-SUB004-0,ART40-Central Artery Area,"Modal setbacks, 80% of existing or adjacent",,,GIS,5/7/2025 19:30:57,0.006348583834844,0.000000990834744,
BULFINCH TRIANGLE/CAA,Bulfinch Triangle,46,1B/1J/1K/1L,Central Artery Area,Mixed-Use,Art46_BULFINCH TRIANGLE/CAA,0,,,,6.000000000000000,80.000000000000000,,,,,,,,,#ad3800,ART46-SUB001-0,ART46-Central Artery Area,"setback equal to building line farthest from the curb line of the two blocks adjacent to said block, facing onto the same street.",,,GIS,5/7/2025 19:30:57,0.009879932967700,0.000004256471891,
NE/CAA,North End Neighborhood,54,1B/1J/1K/1L,Central Artery Area,Mixed-Use,Art54_NE/CAA,0,,,,4.000000000000000,55.000000000000000,,,,,,,,,#ad3800,ART54-SUB006-0,ART54-Central Artery Area,Article 49- CAA,,,GIS,5/7/2025 19:30:57,0.013535844785320,0.000005163748703,
GOVERNMENT CENTER/CAA,Government Center/Markets,45,1H,Central Artery Area,Mixed-Use,Art45_GOVERNMENT CENTER/CAA,0,,,,,,,,,,,,,,#ad3800,ART45-SUB005-0,ART45-Central Artery Area,"Height by Protection Areas, setback equal to building line farthest from the curb line of the two blocks adjacent to said block, facing onto the same street.",,,GIS,5/7/2025 19:30:57,0.004713004590818,0.000001241662472,
GOVERNMENT CENTER/CAA,Government Center/Markets,45,1H,Central Artery Area,Mixed-Use,Art45_GOVERNMENT CENTER/CAA,0,,,,,,,,,,,,,,#ad3800,ART45-SUB005-0,ART45-Central Artery Area,"Height by Protection Areas, setback equal to building line farthest from the curb line of the two blocks adjacent to said block, facing onto the same street.",,,GIS,5/7/2025 19:30:57,0.003502474968526,0.000000511879705,
LI,Jamaica Plain Neighborhood,55,9A-9C,Local Industrial,Industrial,Art55_LI,0,,,,1.000000000000000,35.000000000000000,,,20.000000000000000,,,,,,#65345F,ART55-SUB015-0,ART55-Local Industrial,,,,GIS,5/7/2025 19:30:57,0.003228811651533,0.000000498007015,"MULTIPOLYGON (((-71.104648343999941 42.31474839200007, -71.104474075999974 42.315039932000047, -71.104305591999946 42.315294230000063, -71.103979110999944 42.315664704000028, -71.104044490999968 42.315701898000043, -71.104303106999964 42.315833993000069, -71.104468048999934 42.315921041000081, -71.10469384299995 42.315502466000055, -71.104975079999974 42.31483458200006, -71.104648343999941 42.31474839200007)))"
B-1,Boston Harbor,Underlying Zoning,2A,General Business,Commercial,ArtUnderlying Zoning_B-1,0,Any Dwelling,Special Restriction,,1.000000000000000,40.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,3.000000000000000,,,,#990300,ARTUZ-SUB002-0,ARTUZ-General Business,,,,GIS,5/7/2025 19:30:57,0.320559313508225,0.005471935484680,
I-2,Boston Harbor,Underlying Zoning,2A,General Industrial,Industrial,ArtUnderlying Zoning_I-2,0,,,,2.000000000000000,,,,,,,,,,#65345F,ARTUZ-SUB023-0,ARTUZ-General Industrial,setbacks not to exceed existing,,,GIS,5/7/2025 19:30:57,0.103287194040879,0.000401842343197,"MULTIPOLYGON (((-70.993191528999944 42.312812295000072, -70.982121226999936 42.319195672000035, -70.981259460999979 42.358764196000038, -70.982493108999961 42.354649588000029, -70.985136658999977 42.349020954000025, -70.996724581999956 42.333115832000033, -70.996724003999987 42.326968669000053, -70.993191528999944 42.312812295000072)))"
B-1,Boston Harbor,Underlying Zoning,2A,General Business,Commercial,ArtUnderlying Zoning_B-1,0,Any Dwelling,Special Restriction,,1.000000000000000,40.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,3.000000000000000,,,,#990300,ARTUZ-SUB002-0,ARTUZ-General Business,,,,GIS,5/7/2025 19:30:57,0.085076283268787,0.000383851904463,"MULTIPOLYGON (((-70.993191528999944 42.312812295000072, -70.996724003999987 42.326968669000053, -71.00828531999997 42.326968878000059, -71.025311731999977 42.307475424000074, -71.013378672999977 42.308434370000043, -71.008570573999975 42.307699291000063, -70.993191528999944 42.312812295000072)))"
NI-VA-1,Jamaica Plain Neighborhood,55,9B,Neighborhood Institutional,Community/Institutional,Art55_NI-VA-1,0,,,,3.000000000000000,65.000000000000000,,10.000000000000000,25.000000000000000,,,,,,#004B6E,ART55-SUB018-0,ART55-Neighborhood Institutional,,,,GIS,5/7/2025 19:30:57,0.003864144954586,0.000000851132356,
NI-VA-2,Jamaica Plain Neighborhood,55,9B,Neighborhood Institutional,Community/Institutional,Art55_NI-VA-2,0,,,,2.000000000000000,65.000000000000000,30.000000000000000,10.000000000000000,45.000000000000000,,,,,,#004B6E,ART55-SUB019-0,ART55-Neighborhood Institutional,,,,GIS,5/7/2025 19:30:57,0.013877115759302,0.000006168658519,
4,Stuart Street District,48,1S,Mixed Use Area 4,Mixed-Use,Art48_4,0,,,,17.500000000000000,400.000000000000000,,,,,,,,,#ad3800,ART48-SUB004-0,ART48-Mixed Use Area 4,street wall shall meet the property line or be aligned to adjacent buildings,,,GIS,5/7/2025 19:30:57,0.007661674972858,0.000003256444165,
1,Stuart Street District,48,1S,Mixed Use Area 1,Mixed-Use,Art48_1,0,,,,10.000000000000000,155.000000000000000,,,,,,,,,#ad3800,ART48-SUB001-0,ART48-Mixed Use Area 1,street wall shall meet the property line or be aligned to adjacent buildings,,,GIS,5/7/2025 19:30:57,0.010091420975034,0.000002224621438,
2,Stuart Street District,48,1S,Mixed Use Area 2,Mixed-Use,Art48_2,0,,,,17.500000000000000,280.000000000000000,,,,,,,,,#ad3800,ART48-SUB002-0,ART48-Mixed Use Area 2,street wall shall meet the property line or be aligned to adjacent buildings,,,GIS,5/7/2025 19:30:57,0.005704893372260,0.000001822743301,"MULTIPOLYGON (((-71.071661985999981 42.349675938000075, -71.069898387999956 42.350147886000059, -71.069898201999933 42.350148024000077, -71.069901615999981 42.350157635000073, -71.069912613999975 42.350188573000025, -71.069964189999951 42.35031084700006, -71.070075342999985 42.350574354000059, -71.070280284999967 42.351060200000063, -71.072105495999949 42.350573231000055, -71.071661985999981 42.349675938000075)))"
3,Stuart Street District,48,1S,Mixed Use Area 3,Mixed-Use,Art48_3,0,,,,17.500000000000000,356.000000000000000,,,,,,,,,#ad3800,ART48-SUB003-0,ART48-Mixed Use Area 3,street wall shall meet the property line or be aligned to adjacent buildings,,,GIS,5/7/2025 19:30:57,0.009405141563296,0.000004730782900,"MULTIPOLYGON (((-71.073736882999981 42.34772829800005, -71.073075113999948 42.348253395000029, -71.072010070999966 42.349113722000027, -71.072203935999937 42.34953536200004, -71.071661985999981 42.349675938000075, -71.071708402999946 42.349763376000055, -71.07205156699996 42.350466793000066, -71.072105495999949 42.350573231000055, -71.072648295999954 42.350428997000051, -71.072648096999956 42.350428592000071, -71.074803921999944 42.349845562000041, -71.073736882999981 42.34772829800005)))"
1,Stuart Street District,48,1S,Mixed Use Area 1,Mixed-Use,Art48_1,0,,,,10.000000000000000,155.000000000000000,,,,,,,,,#ad3800,ART48-SUB001-0,ART48-Mixed Use Area 1,street wall shall meet the property line or be aligned to adjacent buildings,,,GIS,5/7/2025 19:30:57,0.006416765061970,0.000002278238404,"MULTIPOLYGON (((-71.074349493999989 42.348943774000077, -71.074803921999944 42.349845562000041, -71.076899027999957 42.34928287200006, -71.076832768999964 42.349143093000066, -71.076766618999955 42.349003542000048, -71.076723486999981 42.348912549000033, -71.076598291999971 42.348648437000065, -71.076535095999986 42.348540769000067, -71.076413722999973 42.348333986000057, -71.076402521999967 42.348314903000073, -71.075372897999955 42.348587413000075, -71.074349493999989 42.348943774000077)))"
LEATHER DISTRICT,Leather District,44,1C/1G/1N,Leather District,Mixed-Use,Art44_LEATHER DISTRICT,0,,,,6.000000000000000,80.000000000000000,,,,,,,,,#ad3800,ART44-SUB001-0,ART44-Leather District,"setback equal to building line farthest from the curb line of the two blocks adjacent to said block, facing onto the same street.",,,GIS,5/7/2025 19:30:57,0.010477926383118,0.000006915894930,
GENERAL AREA,South Station Economic Development Area,40,1C/1G/1N,General Area,Mixed-Use,Art40_GENERAL AREA,0,,,,12.000000000000000,300.000000000000000,,,,,,,,,#ad3800,ART40-SUB001-0,ART40-General Area,"Modal setbacks, 80% of existing or adjacent",,,GIS,5/7/2025 19:30:57,0.004369356479583,0.000000963392978,
GENERAL AREA,South Station Economic Development Area,40,1C/1G/1N,General Area,Mixed-Use,Art40_GENERAL AREA,0,,,,12.000000000000000,300.000000000000000,,,,,,,,,#ad3800,ART40-SUB001-0,ART40-General Area,"Modal setbacks, 80% of existing or adjacent",,,GIS,5/7/2025 19:30:57,0.003277346600113,0.000000555328098,
PARCEL-TO-PARCEL LINKAGE DEVELOPMENT AREA,South Station Economic Development Area,40,1C/1G/1N,Parcel-to-Parcel Linkage Development Area,Mixed-Use,Art40_PARCEL-TO-PARCEL LINKAGE DEVELOPMENT AREA,0,,,,14.000000000000000,465.000000000000000,,,,,,,,,#ad3800,ART40-SUB003-0,ART40-Parcel-to-Parcel Linkage Development Area,"Modal setbacks, 80% of existing or adjacent",,,GIS,5/7/2025 19:30:57,0.004600756602653,0.000001252950514,
NEW ECONOMY DEVELOPMENT AREA,South Station Economic Development Area,40,1C/1G/1N,Economic Development Area,Mixed-Use,Art40_NEW ECONOMY DEVELOPMENT AREA,0,,,,12.000000000000000,300.000000000000000,,,,,,,,,#ad3800,ART40-SUB002-0,ART40-Economic Development Area,"Modal setbacks, 80% of existing or adjacent",,,GIS,5/7/2025 19:30:57,0.019224017797154,0.000005493397054,
SOUTH STATION AIR-RIGHTS DEVELOPMENT SUB-AREA,South Station Economic Development Area,40,1C/1G/1N,South Station Air-Rights Development Sub-Area,Mixed-Use,Art40_SOUTH STATION AIR-RIGHTS DEVELOPMENT SUB-AREA,0,,,,12.000000000000000,300.000000000000000,,,,,,,,,#ad3800,ART40-SUB005-0,ART40-South Station Air-Rights Development Sub-Area,"Modal setbacks, 80% of existing or adjacent",,,GIS,5/7/2025 19:30:57,0.009243858252522,0.000004303867221,
NORTH END LOCAL BUSINESS SUBDISTRICT,Harborpark: North End Waterfront,42A,1E-1F,Local Business,Commercial,Art42A_NORTH END LOCAL BUSINESS SUBDISTRICT,0,,,,2.000000000000000,55.000000000000000,,,,,,,,,#990300,ART42A-SUB013-0,ART42A-Local Business,,,,GIS,5/7/2025 19:30:57,0.002658834326872,0.000000417697709,
DOWNTOWN WATERFRONT SUBDISTRICT,Harborpark: North End Waterfront,42A,1E-1F,Waterfront,Mixed-Use,Art42A_DOWNTOWN WATERFRONT SUBDISTRICT,0,,,,4.000000000000000,,,,,,,,,,#ad3800,ART42A-SUB007-0,ART42A-Waterfront,Height regulations by zones A-F,,,GIS,5/7/2025 19:30:57,0.028884391607750,0.000039676400632,
OS-P,Harborpark: North End Waterfront,42A,1E-1F,Parkland Open Space,Open Space,Art42A_OS-P,0,,,,,,,,,,,,,,#38A800,ART42A-SUB018-0,ART42A-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.006632034654125,0.000002490917279,
NORTH END WATERFRONT SUBDISTRICT,Harborpark: North End Waterfront,42A,1E-1F,Waterfront,Mixed-Use,Art42A_NORTH END WATERFRONT SUBDISTRICT,0,,,,2.000000000000000,55.000000000000000,,,,,,,,,#ad3800,ART42A-SUB015-0,ART42A-Waterfront,,,,GIS,5/7/2025 19:30:57,0.031770777954636,0.000051043977895,
NORTH END PLAYGROUND RECREATION OPEN SPACE SUBDISTRICT,Harborpark: North End Waterfront,42A,1E-1F,Recreation Open Space,Open Space,Art42A_NORTH END PLAYGROUND RECREATION OPEN SPACE SUBDISTRICT,0,,,,,,,,,,,,,,#38A800,ART42A-SUB014-0,ART42A-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.020573654977471,0.000013470253055,
NORTH GROVE STREET RESTRICTED GROWTH AREA,Cambridge Street North,47A,1B/1J/1K/1L,Restricted Growth Area,Mixed-Use,Art47A_NORTH GROVE STREET RESTRICTED GROWTH AREA,0,North Grove Street Restricted Growth Area,,,7.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,#ad3800,ART47A-SUB005-0,ART47A-Restricted Growth Area,,,,GIS,5/7/2025 19:30:57,0.004923181413122,0.000001102795833,
CHARLES STREET JAIL NORTH MEDIUM DENSITY AREA,Cambridge Street North,47A,1B/1J/1K/1L,Medium Density Area,Mixed-Use,Art47A_CHARLES STREET JAIL NORTH MEDIUM DENSITY AREA,0,Charles Street Jail North Medium Density Area,,,5.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,#ad3800,ART47A-SUB002-0,ART47A-Medium Density Area,,,,GIS,5/7/2025 19:30:57,0.003819944705277,0.000000564640622,
CAMBRIDGE STREET JAIL SOUTH PROTECTION AREA,Cambridge Street North,47A,1B/1J/1K/1L,Protection Area,Mixed-Use,Art47A_CAMBRIDGE STREET JAIL SOUTH PROTECTION AREA,0,Charles Street Jail South Protection Area,,,5.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,#ad3800,ART47A-SUB003-0,ART47A-Protection Area,,,,GIS,5/7/2025 19:30:57,0.004238661666588,0.000000923643534,
CAMBRIDGE STREET NORTH SIDE PROTECTION AREA,Cambridge Street North,47A,1B/1J/1K/1L,Protection Area,Mixed-Use,Art47A_CAMBRIDGE STREET NORTH SIDE PROTECTION AREA,0,Cambridge Street North Side Protection Area: portion west of property at 151 Cambridge Street (West End Branch of Boston Public Library),,,5.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,#ad3800,ART47A-SUB004-0,ART47A-Protection Area,,,,GIS,5/7/2025 19:30:57,0.016687060386880,0.000003170897897,
BLOSSOM STREET RESTRICTED GROWTH AREA,Cambridge Street North,47A,1B/1J/1K/1L,Restricted Growth Area,Mixed-Use,Art47A_BLOSSOM STREET RESTRICTED GROWTH AREA,0,Blossom Street Restricted Growth Area,,,7.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,#ad3800,ART47A-SUB001-0,ART47A-Restricted Growth Area,,,,GIS,5/7/2025 19:30:57,0.008151797729484,0.000002345001305,
B-10,Boston Proper,Underlying Zoning,1,General Business,Commercial,ArtUnderlying Zoning_B-10,0,Any Dwelling,Special Restriction,,10.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,#990300,ARTUZ-SUB001-0,ARTUZ-General Business,,,,GIS,5/7/2025 19:30:57,0.030914691764483,0.000030065312780,
B-8,Boston Proper,Underlying Zoning,1,General Business,Commercial,ArtUnderlying Zoning_B-8,0,Any Dwelling,Special Restriction,,8.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,#990300,ARTUZ-SUB012-0,ARTUZ-General Business,,,,GIS,5/7/2025 19:30:57,0.005095640938671,0.000001548891753,
